,0,1,2
s03M2222,1.1315354664363266,0.0,5.258317069336947
s04M2222,0.7454434190258588,0.0,8.746539731648937
s05M2222,1.7439203517744684,0.0,7.3574032569461565
s06M2222,1.393836461080846,0.11618865491175212,14.780643876867005
s07M2222,0.8403521198059644,0.10338632595563998,3.0629734280929317
s08M2222,0.034620668890502075,0.002307887749845299,0.12595720927796658
s09M2222,0.22000062536583137,0.06531906548182675,0.4922150731647217
s10M2222,0.3448173102856512,0.09376425458645185,0.5158098377039503
s11M2222,0.4869609556471077,0.05450127854890227,0.7613610594224601
s12M2222,0.5640167267588281,0.05298003959261431,0.7108320044260167
s13M2222,0.25046439481396476,0.11309057619929826,0.5655018392295069
s15M2222,0.9012948507880582,0.047271421058103356,1.1921469076334497
s01X2222,1.3630439864000936,0.024349944724208025,1.7386522140242828
s02T2222,1.415042911158175,0.0,13.296588209590986
s03T2222,1.8591101079058336,0.0,6.2502827520681175
s04T2222,0.7705988286979532,0.0,17.84327025340497
s05T2222,1.5511926319050395,0.0,7.260847533714751
s06T2222,1.3310548677785008,0.0,11.549987630150657
s07T2222,0.26992333960845083,0.0,18.339394806167636
s08T2222,0.04131454943165457,0.007660320755625434,0.19971121467465155
s09T2222,0.17132903020896234,0.26642229138406576,0.4066945209662206
s10T2222,0.11534250870462813,0.11568545227673686,0.36149145785517567
s11T2222,0.15214096306456462,0.09064903991503706,0.29804197655026105
s12T2222,0.20439080293957393,0.08530385106998963,0.5979016254264322
s13T2222,0.20367855551199762,0.09879794790132665,0.48263734748517423
s14T2222,0.7195632997670699,0.06376588256057535,0.9397103235573188
s15T2222,0.32830464788782504,0.16486087292355442,0.6459306603892129
s02M2322,1.700745015354461,0.08661397590806806,3.367545287588808
s03M2322,0.35337582698205866,0.0485812870893628,15.473916301085568
s04M2322,1.5163005808177248,0.0,11.173244769693872
s05M2322,0.4709543100934011,0.0,20.804987737586767
s06M2322,0.37678977882546316,0.0,21.175037476660606
s07M2322,1.6356529784888354,0.28077614212573465,8.644560801334693
s08M2322,0.06474565559145644,0.010757528784101482,0.3460939661301893
s09M2322,0.22754937376651668,0.39827454094307385,0.35454759614629605
s10M2322,0.23465499778076024,0.8425430097475437,0.6079938935637379
s11M2322,0.3350626572317971,0.6529396094768041,0.5060947299977057
s12M2322,0.1936002666650879,1.999192275243229,0.6605719715952643
s13M2322,0.17963625814487444,2.3809550410551044,0.8281363702566735
s14M2322,0.29277000423225197,0.5627091100114342,0.7946642093608443
s15M2322,0.3999674985095296,0.24025838904411992,0.6871662208703402
s01X2322,0.5095604418197573,0.5134091828486982,1.3034680170523791
s02T2322,0.9490257301040267,0.15608445200273927,2.0255505662711677
s03T2322,1.1296929771404947,0.10294557720545634,5.945948200542515
s04T2322,0.31831984285138026,0.6071884012951424,9.811141965254311
s05T2322,0.9210144443735084,0.012094317781946768,13.640697549869714
s06T2322,0.7305491119949918,0.0,13.474639128688887
s07T2322,0.5543790195500664,0.4796623515745413,2.9876258414090486
s08T2322,0.05034842944816271,0.010504318747587522,0.15524296604683122
s09T2322,0.7423810959624868,0.06482286251353925,0.6032041336718018
s10T2322,0.5193232029349119,0.10479729783560619,0.5152928433130065
s11T2322,1.359607377765392,0.11791581499892188,0.7814442108586691
s12T2322,1.6709317016325447,0.12478358700469913,0.8789131515979567
s13T2322,0.5297877298169797,0.13429769518337126,0.7500211283825438
s14T2322,2.155786037918572,0.11677936521523777,2.180611808159389
s15T2322,0.7038369563542026,0.6905217260816298,1.2474721737452834
s02M2422,0.44503354270893913,0.0,5.191162381494871
s03M2422,0.1845578452060406,0.0,12.238968804813526
s04M2422,0.592526927735159,0.0,17.23217256832025
s05M2422,1.3660843703503176,0.0,10.37540341842912
s06M2422,0.8443492702260305,0.0,11.07223108721131
s07M2422,0.47112321868705614,0.630822223839705,5.543533093251638
s08M2422,0.1219419673871946,0.03074820729258379,0.37852040329973097
s09M2422,0.0,1.6801087586574255,3.1482018569879653
s10M2422,0.0,2.4515193930653356,3.637603552540214
s11M2422,0.0,2.790723947073739,4.784339682850105
s12M2422,0.02481501444905077,2.7984816443560225,4.620309436325792
s13M2422,0.01805656096118784,2.6279858784320447,4.497868148040828
s14M2422,0.19863015646980475,1.0030694671618687,1.7892426971828332
s15M2422,0.36010839185964183,0.3032729336257216,1.0806585766366341
s01X2422,0.5838519818453225,0.03910898576721712,2.1356821964460955
