,temperature
1175,6.4
1176,7.5
1177,5.8
1178,5.9
1179,4.3
1180,4.1
1181,3.8
1182,5.2
1183,5.2
1184,4.5
1185,4
1186,5.7747
1187,7.8995
1188,7.0641
1189,7.4333
1190,10.5855
1191,10.4466
1192,11.4673490996
1193,12.0616
1194,13.0580187036
1195,
1196,16.744818815
1197,
1198,
1199,
1200,
1201,
1202,
1203,18.421
1204,19.164
1205,23.213
1206,20.684
1207,18.669
1208,
1209,22.07
1210,20.736
1211,20.339
1212,23.992
1213,20.669
1214,19.429
1215,19.595
1216,18.364
1217,15.297
1218,14.321
1219,14.074
1220,13.261
1221,13.889
1222,14.09
1223,
1224,10.9
1225,11
1226,5.5
1227,7.4
1228,4.5
1229,4.1
1230,0.6
1231,5.2
1232,5.9
1233,6.5
1234,4.4
1235,2.4
1236,3.8
1237,2.1
1238,4.6
1239,5.7
1240,4.1
1241,3.1976
1242,5.0395
1243,8.4505
1244,8.2614
1245,9.0457
1246,8.7457
1247,
1248,11.0328
1249,12.2849222735
1250,10.5819
1251,14.2083725186667
1252,
1253,14.1099990236667
1254,
1255,
1256,
1257,
1258,
1259,18.408
1260,
1261,23.044
1262,19.569
1263,
1264,
1265,19.062
1266,23.896
1267,21.584
1268,23.537
1269,23.377
1270,19.76
1271,16.714
1272,
1273,15.28
1274,
1275,15.16
1276,12.319
1277,
1278,13.4
1279,12.055
1280,11.4
1281,9.2
1282,6.8
1283,5.8
1284,3
1285,1.8
1286,3.7
1287,6.8
1288,6.9
1289,6.4
1290,5.7
1291,4.6
1292,4.4
1293,3.8
1294,5.2
1295,5.3
1296,5.1
1297,4.6
1298,5.2509
1299,7.2893
1300,6.7317
1301,6.3299
1302,8.8861
1303,10.4915
1304,11.460671626
1305,11.284
1306,13.9505345946
1307,
1308,16.3862027105
1309,
1310,
1311,
1312,
1313,
1314,
1315,18.454
1316,19.244
1317,23.462
1318,20.494
1319,18.833
1320,
1321,21.492
1322,20.773
1323,21.087
1324,24.151
1325,20.452
1326,19.145
1327,19.029
1328,17.369
1329,15.224
1330,15.106
1331,14.094
1332,13.518
1333,14.109
1334,13.925
1335,
1336,11.1
1337,10.9
1338,5.8
1339,7.2
1340,5
1341,4.1
1342,3.5
1343,5.1
1344,5.8
1345,6.4
1346,4.8
1347,2.8
1348,4
1349,2.9
1350,4.6
1351,5.5
1352,4.3
1353,2.1011
1354,5.1996
1355,7.0746
1356,7.4204
1357,8.9473
1358,8.6114
1359,
1360,10.4519
1361,12.4536477225
1362,10.7604
1363,14.388028356
1364,
1365,13.2083811002
1366,
1367,
1368,
1369,
1370,
1371,18.271
1372,
1373,23.125
1374,19.333
1375,
1376,
1377,19.348
1378,23.894
1379,22.333
1380,21.916
1381,23.4
1382,19.549
1383,16.302
1384,
1385,15.662
1386,
1387,14.349
1388,13.068
1389,
1390,13.686
1391,12.325
1392,11.6
1393,9
1394,7.3
1395,5.5
1396,3.3
1397,1.9
1398,3.6
1399,6.5
1400,6.7
1401,5.9
1402,5.4
1403,4.6
1404,3.9
1405,3.6
1406,4.7
1407,5
1408,4.3
1409,3.8
1410,5.0255
1411,5.9521
1412,6.6575
1413,6.3616
1414,8.6871
1415,9.4699
1416,9.382904171
1417,10.4259
1418,10.93079620975
1419,
1420,14.07159361375
1421,
1422,
1423,
1424,
1425,
1426,
1427,18.095
1428,17.94
1429,21.644
1430,19.362
1431,18.783
1432,
1433,20.26
1434,19.883
1435,20.765
1436,22.649
1437,20.368
1438,19.34
1439,18.834
1440,17.486
1441,15.159
1442,14.982
1443,14.002
1444,13.226
1445,14.25
1446,13.809
1447,
1448,11.1
1449,10.5
1450,7.4
1451,7.1
1452,4.3
1453,4.6
1454,3.2
1455,5.6
1456,5.9
1457,6.4
1458,4.4
1459,3.7
1460,4
1461,3.2
1462,4.5
1463,5.3
1464,4.2
1465,2.9805
1466,5.1699
1467,6.9007
1468,6.776
1469,8.793
1470,8.5233
1471,
1472,10.5459
1473,9.49543748725
1474,10.6924
1475,11.866685869
1476,
1477,12.87292748225
1478,
1479,
1480,
1481,
1482,
1483,17.23
1484,
1485,22.228
1486,19.218
1487,
1488,
1489,19.358
1490,21.115
1491,21.598
1492,20.739
1493,22.179
1494,19.57
1495,16.144
1496,
1497,15.284
1498,
1499,13.955
1500,13.001
1501,
1502,13.766
1503,12.13
1504,11.6
1505,7.9
1506,7.7
1507,5.6
1508,5.7
1509,2.2
1510,4.3
1511,5.7
1512,6.2
1513,6.4
1514,6
1515,5.1
1516,4.1
1517,3.7
1518,4.2
1519,5
1520,4.1
1521,4.2
1522,4.094
1523,5.1218
1524,6.3735
1525,5.7108
1526,6.737
1527,7.528
1528,7.9606022942
1529,7.8822
1530,10.3728992525
1531,
1532,12.83670815
1533,
1534,
1535,
1536,
1537,
1538,
1539,17.069
1540,17.225
1541,19.655
1542,18.614
1543,18.185
1544,
